"coded_country","affAnx","affBor","affCalm","affContent","affDepr","affEnerg","affExc","affNerv","affExh","affInsp","affRel","PLRAC19","PLRAEco","disc01","disc02","disc03","jbInsec01","jbInsec02","jbInsec03","jbInsec04","employstatus_1","employstatus_2","employstatus_3","employstatus_4","employstatus_5","employstatus_6","employstatus_7","employstatus_8","employstatus_9","employstatus_10","PFS01","PFS02","PFS03","fail01","fail02","fail03","happy","lifeSat","MLQ","c19NormShould","c19NormDo","c19IsStrict","c19IsPunish","c19IsOrg","trustGovCtry","trustGovState","gender","age","edu","c19ProSo01","c19ProSo02","c19ProSo03","c19ProSo04"
"Belarus",2.66666666666667,2.33333333333333,3,3,1.66666666666667,3,2,2,1.33333333333333,2,2.33333333333333,3,5.66666666666667,0.333333333333333,0.666666666666667,-0.333333333333333,-1.33333333333333,-0.333333333333333,0.666666666666667,-1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,1,-0.666666666666667,-0.666666666666667,-1,-0.666666666666667,7.66666666666667,4,-1,1,0,3,2,3,2.66666666666667,3.66666666666667,1.33333333333333,3,6,2,0.666666666666667,1.33333333333333,1.33333333333333
"Belgium",2.71428571428571,2.26190476190476,3.02380952380952,2.64285714285714,2.23809523809524,2.52380952380952,2.45238095238095,2.78571428571429,2.80952380952381,2.52380952380952,2.54761904761905,4.09523809523809,4.02380952380952,0.619047619047619,0.976190476190476,-0.357142857142857,-0.761904761904762,0.69047619047619,-0.333333333333333,-1.14285714285714,0.19047619047619,0.19047619047619,0.285714285714286,0.0952380952380952,0.0238095238095238,0.0238095238095238,0.0476190476190476,0.0476190476190476,0.119047619047619,0.0238095238095238,-0.69047619047619,0.0952380952380952,-1.02380952380952,-0.642857142857143,-0.904761904761905,0.0476190476190476,6.57142857142857,4.47619047619048,0.571428571428571,2.57142857142857,1.69047619047619,4.19047619047619,3.30952380952381,4.19047619047619,3.02380952380952,3.04761904761905,1.23809523809524,2.64285714285714,5.42857142857143,1.30952380952381,0.857142857142857,0.976190476190476,1.78571428571429
"Benin",2,1,3,3,1,4,4,1,1,3,5,2,5,0,0,0,-2,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,1,8,5,3,3,-3,4,2,3,3,3,1,5,6,0,1,-1,1
"Bosnia and Herzegovina",3,2.2,2.3,3,2.2,2.9,2.9,3.3,2.9,2.4,2.9,3.2,4.7,0.9,0.9,-1,-0.6,0.6,0.5,-1.6,0.1,0,0.6,0,0,0.1,0,0,0.3,0,0.4,0.5,-0.9,0.4,-0.4,0.8,6.8,4.2,1.1,2.8,1.3,4.5,3.4,3.3,3.5,2.9,1.3,2.1,5,0.9,1.1,0.5,0.1
"Botswana",3,1,3,3,3,3,3,4,3,3,3,4,5,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,8,5,2,3,2,5,6,4,3,3,1,2,5,0,3,1,1
"Brazil",3.03280542986425,2.58597285067873,2.61538461538462,2.50565610859729,2.23190045248869,2.3868778280543,2.16515837104072,2.65837104072398,2.44796380090498,2.36990950226244,2.42081447963801,3.32918552036199,4.4841628959276,0.657239819004525,1.11990950226244,-0.690045248868778,-0.257918552036199,0.290723981900453,0.278280542986425,-0.614253393665158,0.177601809954751,0.182126696832579,0.271493212669683,0.118778280542986,0.0475113122171946,0.084841628959276,0.118778280542986,0.00452488687782805,0.0927601809954751,0.0192307692307692,0.26131221719457,1.0316742081448,0.107466063348416,0.160633484162896,-0.408371040723982,0.369909502262443,6.90837104072398,4.11877828054299,1.06900452488688,2.01470588235294,0.957013574660634,3.85972850678733,2.91176470588235,3.72511312217195,2.59954751131222,2.84502262443439,1.42873303167421,3.15158371040724,3.80656108597285,1.19570135746606,1.4185520361991,0.839366515837104,1.75904977375566
"Brunei",2.5,1.5,3,3,2,2.5,2.5,1.5,3.5,2.5,3.5,4.5,4.5,1.5,1,0,-0.5,0.5,1,-1,0,0,0.5,0,0,0,0,0,0.5,0,0.5,1,0,-2,-1.5,0,5.5,4,0,2.5,2.5,5.5,5,4,4.5,3.5,1.5,1.5,4.5,1.5,2,1,2
"Bulgaria",1.83333333333333,2.16666666666667,3.66666666666667,3.16666666666667,2,3.16666666666667,2.16666666666667,2,2.33333333333333,3,2.83333333333333,3.33333333333333,4.5,0.666666666666667,0.833333333333333,-0.333333333333333,-0.333333333333333,0.833333333333333,0.5,-1.16666666666667,0,0,0.5,0,0.166666666666667,0,0,0,0.333333333333333,0,-0.5,0,-0.5,0.333333333333333,-0.5,-0.166666666666667,7.66666666666667,4.83333333333333,1.33333333333333,2.16666666666667,1.33333333333333,4.33333333333333,3.5,3.66666666666667,2.83333333333333,2.5,1.33333333333333,2.16666666666667,5.33333333333333,1.5,-0.333333333333333,0.833333333333333,1.16666666666667
"Cameroon",4,4,3,1,2,2,1,1,2,1,2,4,7,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,2,6,3,2,3,-1,6,1,1,3,3,2,1,4,2,3,3,1
"Canada",2.81315240083507,2.79331941544885,2.77870563674322,2.54801670146138,2.2286012526096,2.34655532359081,1.93006263048017,2.61586638830898,2.53027139874739,2.15344467640919,2.63256784968685,3.56576200417537,4.419624217119,0.632567849686848,0.846555323590814,-0.319415448851775,-0.302713987473904,0.362212943632568,0.107515657620042,-0.487473903966597,0.108559498956159,0.221294363256785,0.276617954070981,0.0855949895615866,0.0657620041753653,0.0542797494780793,0.146137787056367,0.0323590814196242,0.113778705636743,0.0240083507306889,-0.0281837160751566,0.623173277661795,-0.319415448851775,-0.324634655532359,-0.448851774530271,0.296450939457203,6.14718162839248,4.10855949895616,0.505219206680585,2.22338204592902,1.46659707724426,4.20563674321503,3.26931106471816,4.20668058455115,3.30897703549061,3.23903966597077,1.47494780793319,3.339248434238,4.17432150313152,0.806889352818372,0.389352818371608,0.481210855949896,1.74008350730689
"Chile",3.42081447963801,2.71945701357466,2.49321266968326,2.40723981900452,2.43891402714932,2.01357466063348,2.25339366515837,2.93212669683258,3.12217194570136,2.21266968325792,2.13122171945701,4.41628959276018,4.61990950226244,1.00904977375566,1.21719457013575,-1.09954751131222,-0.257918552036199,0.190045248868778,0.48868778280543,-0.53393665158371,0.18552036199095,0.122171945701357,0.334841628959276,0.108597285067873,0.0316742081447964,0.158371040723982,0.0226244343891403,0.00904977375565611,0.221719457013575,0.0497737556561086,-0.117647058823529,0.556561085972851,-0.226244343891403,0.683257918552036,-0.393665158371041,0.764705882352941,6.67420814479638,4.37556561085973,0.864253393665158,2.37556561085973,2.09502262443439,3.26244343891403,2.69230769230769,3,2.20361990950226,2.95927601809955,1.27149321266968,2.83710407239819,5.02714932126697,1.4027149321267,1.19004524886878,1.1131221719457,2.1131221719457
"China",2.23686920700309,2.56333676622039,3.34191555097837,3.14624098867147,1.90834191555098,3.27806385169928,2.61688980432544,2.20288362512873,2.52523171987642,2.88362512873326,3.10607621009269,2.32337796086509,4.09268795056643,0.0988671472708548,0.27600411946447,0.540679711637487,-0.808444902162719,0.164778578784758,-0.591143151390319,-0.386199794026777,0.0514933058702369,0.203913491246138,0.426364572605561,0.0453141091658084,0.0133882595262616,0.0504634397528321,0.00720906282183316,0.00205973223480947,0.185375901132853,0.0102986611740474,-0.0762100926879506,0.561277033985582,-0.43254376930999,-0.712667353244078,-0.84140061791967,-0.104016477857878,6.40782698249228,4.02986611740474,0.978372811534501,1.83213182286303,1.79093717816684,5.09886714727085,4.67971163748713,5.14006179196704,3,3,1.47579814624099,2.43872296601442,4.33058702368692,1.20700308959835,1.50669412976313,1.03707518022657,0.795056642636457
"Colombia",3,1.91666666666667,3.04166666666667,2.5,2.08333333333333,2.625,2.20833333333333,2.79166666666667,2.66666666666667,2.375,2.58333333333333,3.75,4.54166666666667,0.541666666666667,0.916666666666667,-0.666666666666667,-0.375,0.458333333333333,0.0416666666666667,-0.833333333333333,0.0416666666666667,0.0416666666666667,0.625,0.0833333333333333,0.0833333333333333,0.208333333333333,0.0833333333333333,0,0.166666666666667,0.0833333333333333,0.125,0.458333333333333,-0.0416666666666667,0.125,-0.833333333333333,0.291666666666667,6.75,4.79166666666667,1.58333333333333,2.16666666666667,1.83333333333333,4,3.20833333333333,3.25,3.16666666666667,2.95833333333333,1.29166666666667,3.33333333333333,5.33333333333333,0.875,1.08333333333333,0.666666666666667,1.79166666666667
